drug1.conc,drug2.conc,effect,model.effect,diff
0.0,0.0,1.0,0.915664863560316,0.08433513643968404
0.0,0.1,0.218704713,0.915664407143676,0.696959694143676
0.0,0.025,0.764867075,0.9156400046588319,0.15077292965883193
0.0,0.00625,0.85629223,0.9143132164115733,0.05802098641157327
0.0,0.0015625,0.884496749,0.8483913562998177,0.036105392700182315
0.0,0.000390625,0.858881241,0.27232789243424116,0.5865533485657588
1.0,0.0,0.029046224,0.9156621976570414,0.8866159736570414
1.0,0.1,0.009063413,0.9156616975611906,0.9065982845611906
1.0,0.025,0.016727028,0.9156368212967824,0.8989097932967823
1.0,0.00625,0.025827974,0.9143071584124557,0.8884791844124557
1.0,0.0015625,0.03388347,0.8483095482548346,0.8144260782548346
1.0,0.000390625,0.031770822,0.2721177785026351,0.24034695650263507
0.333333333,0.0,0.06094691,0.915634088527789,0.8546871785277891
0.333333333,0.1,0.014943604,0.9156331144457117,0.9006895104457118
0.333333333,0.025,0.031824503,0.915602849396409,0.8837783463964091
0.333333333,0.00625,0.048778947,0.9142204395654777,0.8654414925654778
0.333333333,0.0015625,0.065857473,0.8463300678843843,0.7804725948843843
0.333333333,0.000390625,0.073116298,0.26699376047315737,0.19387746247315737
0.111111111,0.0,0.138321487,0.9153097170247143,0.7769882300247143
0.111111111,0.1,0.025563671,0.9153012857547402,0.8897376147547402
0.111111111,0.025,0.050598258,0.9151796004655423,0.8645813424655423
0.111111111,0.00625,0.095430386,0.9125678302194179,0.8171374442194179
0.111111111,0.0015625,0.13998916,0.7987825838186445,0.6587934238186446
0.111111111,0.000390625,0.157991523,0.18529439240791115,0.027302869407911157
0.037037037,0.0,0.530611954,0.9115824879200404,0.3809705339200403
0.037037037,0.1,0.041449215,0.9114368310013238,0.8699876160013238
0.037037037,0.025,0.086906524,0.9095018186498097,0.8225952946498097
0.037037037,0.00625,0.200008257,0.8806462796189766,0.6806380226189765
0.037037037,0.0015625,0.451503887,0.3641080018124467,0.08739588518755331
0.037037037,0.000390625,0.621460808,0.06036396562353098,0.5610968423764691
0.012345679,0.0,0.780382836,0.8707577773669439,0.0903749413669439
0.012345679,0.1,0.063814389,0.869161086474507,0.8053466974745069
0.012345679,0.025,0.150217595,0.8484941406651384,0.6982765456651384
0.012345679,0.00625,0.60159275,0.6328413384531534,0.03124858845315337
0.012345679,0.0015625,0.932167517,0.10613257064890191,0.8260349463510981
0.012345679,0.000390625,0.978086205,0.04797511628395766,0.9301110887160423
0.004115226,0.0,0.794800471,0.5799282665343704,0.2148722044656296
0.004115226,0.1,0.105505288,0.5722905996793173,0.46678531167931725
0.004115226,0.025,0.355956968,0.48826862205937993,0.13231165405937995
0.004115226,0.00625,0.937662313,0.18123561988362916,0.7564266931163709
0.004115226,0.0015625,0.983299331,0.058085445744954875,0.9252138852550451
0.004115226,0.000390625,1.0,0.047461153336946685,0.9525388466630533
0.001371742,0.0,0.77958532,0.15091048600734638,0.6286748339926537
0.001371742,0.1,0.173128662,0.147588274879458,0.02554038712054199
0.001371742,0.025,0.808207494,0.11763279877427874,0.6905746952257212
0.001371742,0.00625,0.977631438,0.0606851083471279,0.916946329652872
0.001371742,0.0015625,0.982388681,0.048396581067033595,0.9339920999329664
0.001371742,0.000390625,0.98473662,0.04739288906585422,0.9373437309341457
0.000457247,0.0,0.775822624,0.05572409266502677,0.7200985313349733
0.000457247,0.1,0.283108345,0.05542319713506895,0.22768514786493105
0.000457247,0.025,0.881579602,0.05281446728827171,0.8287651347117283
0.000457247,0.00625,0.943050069,0.0483225274523878,0.8947275415476121
0.000457247,0.0015625,0.942882057,0.0474256758133676,0.8954563811866324
0.000457247,0.000390625,0.969391134,0.04735441325225835,0.9220367207477417
0.000152416,0.0,0.740868829,0.04635151664646185,0.6945173123535381
0.000152416,0.1,0.319030829,0.046387746294174484,0.27264308270582555
0.000152416,0.025,0.862591976,0.0467006679285034,0.8158913080714967
0.000152416,0.00625,0.935331202,0.04723454997495234,0.8880966520250476
0.000152416,0.0015625,0.935743,0.04734039465933005,0.88840260534067
0.000152416,0.000390625,0.937530191,0.04734875983580697,0.890181431164193
